"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2018","269285",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2019","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2020","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","124","CAN","Canada","2021","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2005","9328",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2006","10175",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2007","10502",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2008","11042",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2009","9429",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2010","8780",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2011","8926",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2012","8649",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2013","9133",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2014","9381",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2015","10439",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2016","11337",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2017","11833",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2018","12635",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2019","12477",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2020","12254",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","191","HRV","Croatia","2021","13629",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2005","1393",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2006","1163",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2007","1202",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2008","1307",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2009","963",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2010","1087",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2011","941",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2012","896",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2013","635",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2014","538",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2015","563",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2016","703",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2017","828",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2018","892",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2019","858",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2020","709",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","196","CYP","Cyprus","2021","1035",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2005","43447",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2006","50369",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2007","48141",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2008","50877",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2009","44955",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2010","51832",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2011","54830",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2012","51228",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2013","54893",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2014","54092",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2015","58714",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2016","50315",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2017","44274",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2018","41073",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2019","39059",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2020","56090",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","203","CZE","Czechia","2021","63756",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2005","23299",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2006","21254",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2007","20960",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2008","19480",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","208","DNK","Denmark","2009","16877",
